State,District,Latitude,Longitude,Population in 2001,Population in 2011
Andhra Pradesh,Anantapur,14.3120655618431,77.4601584478577,3640478,4081148
Andhra Pradesh,Chittoor,13.331092630677,78.9276389888604,3745875,4174064
Andhra Pradesh,West Godavari,16.6329794392524,81.459129906542,3803517,3936966
Arunachal Pradesh,Changlang,27.3604847933884,96.3755264462811,125422,148226
Arunachal Pradesh,East Kameng,27.3711940559441,93.04741486014,57179,78690
Arunachal Pradesh,West Kameng,27.4648658227848,92.6501575045208,74599,83947
Arunachal Pradesh,West Siang,28.1062969202898,94.5351034420291,103918,112274
Assam,Barpeta,26.4278722646311,90.9791201017812,1394755,1693622
Assam,Bongaigaon,26.4501252199413,90.6734296187684,612665,738804
Bihar,Araria,26.2115281191806,87.3076655493482,2158608,2811569
Bihar,Aurangabad,24.7742918674699,84.4598602409638,2013055,2540073
Bihar,Siwan,26.1736372013652,84.3376655290102,2714349,3330464
Bihar,Supaul,26.281578937729,86.7849646520146,1732578,2229076
Bihar,Vaishali,25.8134703180212,85.3924759717315,2718421,3495021
Chandigarh,Chandigarh,30.7426,76.7587246575342,900635,1055450
Chhattisgarh,Bastar,19.393866751269,81.5289512690355,1198067,1413199
Goa,South Goa,15.1952786581838,73.941792596877,589095,640537
Gujarat,Amreli,21.0483264931087,71.4345763782543,1393918,1514190
Gujarat,Anand,22.2827182062299,72.5778205155745,1856872,2092745
Gujarat,Banas Kantha,24.2585389655172,71.9320525287356,2504244,3120506
Gujarat,Bharuch,21.7578727623776,72.673263467108,1370656,1551019
Gujarat,Bhavnagar,21.7021939034174,72.1627263276114,2469630,2880365
Gujarat,Surendranagar,22.8267200729927,71.4835874087591,1515148,1756268
Gujarat,The Dangs,20.801633877551,73.6883518367347,186729,228291
Gujarat,Vadodara,22.2613373927959,73.4943301029159,3641802,4165626
Gujarat,Valsad,20.4423823164426,72.9148584798345,1410553,1705678
Haryana,Ambala,30.3503672316384,76.9497031073446,1014411,1128350
Haryana,Bhiwani,28.7288680645161,76.0211022580645,1425022,1634445
Haryana,Sirsa,29.6358344632768,74.9097048022599,1116649,1295189
Himachal Pradesh,Bilaspur,31.3780422907489,76.6531607929516,340885,381956
Himachal Pradesh,Chamba,32.6674181459566,76.3935406311637,460887,519080
Himachal Pradesh,Sirmaur,30.6827644539614,77.4318468950749,458593,529855
Himachal Pradesh,Solan,31.038643119266,76.9444214067278,500557,580320
Himachal Pradesh,Una,31.5833038834951,76.1835393203883,448273,521173
Jharkhand,Bokaro,23.6814965034965,85.9839837412586,1777662,2062330
